,IBC1020_2,IBC1207_1,IBC1207_3
0,D_ue_E1_OK_distance_ew5,D_ue_E1_OK_distance_ew5,D_ue_E1_OK_distance_ew5
1,D_ue_E1_OK_distance_sn22,D_ue_E1_OK_distance_ew30,D_ue_E1_OK_distance_sn25
2,D_ue_E1_OK_distance_ew6,D_ue_E1_OK_distance_sn25,D_ue_E1_OK_distance_sn28
3,D_ue_E1_OK_distance_ew2,D_ue_E1_OK_distance_sn28,D_ue_E1_OK_distance_ew30
4,D_ue_E1_OK_distance_sn1,D_ue_E1_OK_distance_sn2,D_ue_E1_OK_distance_sn2
5,,D_ue_E1_OK_distance_sn27,D_ue_E1_OK_distance_sn27
6,,,D_ue_E1_OK_distance_sn24
7,,,D_ue_E1_OK_distance_sn12
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
