,IBC1020_2,IBC1207_1,IBC1207_3
0,2SzsE5m8T4h9JlM6XpBSn3,2SzsE5m8T4h9JlM6XpBSna,2SzsE5m8T4h9JlM6XpBSna
1,2SzsE5m8T4h9JlM6XpBSnV,2SzsE5m8T4h9JlM6XpBSnb,2SzsE5m8T4h9JlM6XpBSnb
2,2SzsE5m8T4h9JlM6XpBSnr,2SzsE5m8T4h9JlM6XpBSmA,2SzsE5m8T4h9JlM6XpBSnY
3,2SzsE5m8T4h9JlM6XpBSm1,2SzsE5m8T4h9JlM6XpBSmK,2SzsE5m8T4h9JlM6XpBSmA
4,2SzsE5m8T4h9JlM6XpBSmP,2SzsE5m8T4h9JlM6XpBSmw,2SzsE5m8T4h9JlM6XpBSmB
5,2SzsE5m8T4h9JlM6XpBSmW,2SzsE5m8T4h9JlM6XpBSp6,2SzsE5m8T4h9JlM6XpBSm8
6,,,2SzsE5m8T4h9JlM6XpBSm9
7,,,2SzsE5m8T4h9JlM6XpBSmK
8,,,2SzsE5m8T4h9JlM6XpBSmy
9,,,2SzsE5m8T4h9JlM6XpBSmz
10,,,2SzsE5m8T4h9JlM6XpBSmw
11,,,2SzsE5m8T4h9JlM6XpBSmx
12,,,2SzsE5m8T4h9JlM6XpBSp6
