,IBC1020_2,IBC1207_1,IBC1207_3
0,D_ue_E1_OK_distance_ew5,D_ue_E1_OK_distance_ew5,D_ue_E1_OK_distance_ew5
1,D_ue_E1_OK_distance_sn22,D_ue_E0_OK_distance_sn27,D_ue_E0_OK_distance_sn27
2,D_ue_U1_OK_distance_ew7,D_ue_E1_OK_distance_ew30,D_ue_E1_OK_distance_sn25
3,D_ue_E0_OK_distance_ew4,D_ue_E0_OK_distance_sn2,D_ue_E0_OK_distance_sn26
4,D_ue_U1_OK_distance_sn22,D_ue_E1_OK_distance_sn25,D_ue_E0_OK_distance_ew7
5,D_ue_E1_OK_distance_ew6,D_ue_E1_OK_distance_sn28,D_ue_E0_OK_distance_sn23
6,D_ue_E0_OK_distance_ew8,D_ue_E1_OK_distance_sn2,D_ue_E1_OK_distance_sn28
7,D_ue_E0_OK_distance_sn20,D_ue_U1_OK_distance_sn25,D_ue_E1_OK_distance_ew30
8,D_ue_E1_OK_distance_ew2,D_ue_E0_OK_distance_sn26,D_ue_U1_OK_distance_sn13
9,D_ue_E1_OK_distance_sn1,D_ue_E0_OK_distance_ew33,D_ue_E1_OK_distance_sn2
10,D_ue_U1_OK_distance_sn1,D_ue_U1_OK_distance_sn26,D_ue_E0_OK_distance_sn12
11,D_ue_E0_OK_distance_ew7,D_ue_E0_OK_distance_ew7,D_ue_E1_OK_distance_sn27
12,D_ue_E0_OK_distance_sn1,D_ue_E0_OK_distance_sn23,D_ue_E1_OK_distance_sn24
13,D_ue_U1_OK_distance_ew6,D_ue_U1_OK_distance_sn2,D_ue_E0_OK_distance_ew33
14,,D_ue_E1_OK_distance_sn27,D_ue_U1_OK_distance_sn2
15,,D_ue_U1_OK_distance_ew6,D_ue_U1_OK_distance_ew6
16,,,D_ue_E0_OK_distance_sn2
17,,,D_ue_E1_OK_distance_sn12
18,,,D_ue_U1_OK_distance_sn25
19,,,D_ue_U1_OK_distance_sn26
20,,,D_ue_E0_OK_distance_sn24
