,U1_OK_d_wl_ew6,U1_OK_d_wl_sn21,U1_OK_d_wl_sn26,U1_OK_d_wl_sn10,U1_OK_d_wl_ew35,compliance-IBC1020_2,compliance-IBC1207_1,compliance-IBC1207_3,compliance
0,2.759,2.75,7.595,4.925,9.542,Initial Design,Initial Design,Initial Design,Initial Design
1,2.7482,2.5826,7.646,5.0768,9.605,FALSE,TRUE,FALSE,FALSE
2,2.705,2.6762,7.7876,5.006,9.7226,TRUE,TRUE,FALSE,FALSE
3,2.8802,2.5034,7.5968,5.0564,9.6614,FALSE,TRUE,FALSE,FALSE
4,2.9954,2.519,7.622,5.0048,9.839,FALSE,TRUE,TRUE,FALSE
5,2.5874,2.6234,7.7816,5.1452,9.7922,TRUE,TRUE,FALSE,FALSE
6,3.0458,2.6018,7.6028,5.2004,9.785,FALSE,TRUE,TRUE,FALSE
7,3.0338,2.7314,7.6292,5.1704,9.6962,FALSE,TRUE,TRUE,FALSE
8,2.6882,2.6078,7.7216,4.9952,9.7358,TRUE,TRUE,FALSE,FALSE
9,2.8754,2.5166,7.6172,5.1992,9.617,FALSE,TRUE,FALSE,FALSE
10,2.6666,2.4854,7.7024,5.126,9.569,FALSE,TRUE,FALSE,FALSE
11,2.6858,2.7002,7.7552,5.2076,9.641,FALSE,TRUE,FALSE,FALSE
12,2.573,2.5274,7.8404,5.1932,9.7406,TRUE,TRUE,FALSE,FALSE
13,3.0218,2.7242,7.856,5.0864,9.7946,FALSE,TRUE,FALSE,FALSE
14,2.8442,2.5922,7.7564,5.2112,9.7694,FALSE,TRUE,FALSE,FALSE
15,2.5106,2.591,7.6856,5,9.5918,TRUE,TRUE,FALSE,FALSE
16,2.801,2.7374,7.8308,4.9724,9.6362,FALSE,TRUE,FALSE,FALSE
17,2.849,2.579,7.8812,5.1776,9.6014,FALSE,TRUE,FALSE,FALSE
18,2.909,2.5286,7.8764,5.0216,9.5738,FALSE,TRUE,FALSE,FALSE
19,2.8346,2.7158,7.7828,5.0744,9.5978,FALSE,TRUE,FALSE,FALSE
20,2.6546,2.6126,7.85,5.0792,9.5618,FALSE,TRUE,FALSE,FALSE
21,2.9858,2.5862,7.748,5.0408,9.5714,FALSE,TRUE,TRUE,FALSE
22,2.6978,2.6138,7.7612,5.1872,9.6974,TRUE,TRUE,FALSE,FALSE
23,2.9762,2.7362,7.7192,5.1944,9.7154,FALSE,TRUE,TRUE,FALSE
24,2.6378,2.5658,7.874,4.9604,9.6254,TRUE,TRUE,FALSE,FALSE
25,2.5322,2.7026,7.67,5.2016,9.551,TRUE,TRUE,FALSE,FALSE
26,2.5226,2.5178,7.7204,5.2052,9.737,TRUE,TRUE,FALSE,FALSE
27,2.9018,2.4614,7.7516,5.1764,9.8282,FALSE,TRUE,FALSE,FALSE
28,2.7242,2.5766,7.724,5.0696,9.6674,FALSE,TRUE,FALSE,FALSE
29,2.9498,2.4902,7.8332,5.0468,9.7802,FALSE,TRUE,FALSE,FALSE
30,2.8082,2.4926,7.6424,5.0852,9.6266,FALSE,TRUE,FALSE,FALSE
31,2.669,2.6954,7.8728,5.072,9.7658,TRUE,TRUE,FALSE,FALSE
32,2.6522,2.6306,7.7624,5.1308,9.7634,TRUE,TRUE,FALSE,FALSE
33,3.0386,2.5334,7.7156,4.9412,9.5942,FALSE,TRUE,TRUE,FALSE
34,2.9522,2.699,7.7312,5.1716,9.6278,FALSE,TRUE,TRUE,FALSE
35,2.5802,2.4602,7.8476,5.0576,9.5834,TRUE,TRUE,FALSE,FALSE
36,2.681,2.6918,7.6328,5.114,9.6446,FALSE,TRUE,FALSE,FALSE
37,2.6162,2.537,7.664,5.1176,9.599,TRUE,TRUE,FALSE,FALSE
38,2.7866,2.6366,7.7456,5.1824,9.7442,FALSE,TRUE,FALSE,FALSE
39,2.6234,2.6318,7.61,5.0444,9.695,TRUE,TRUE,FALSE,FALSE
40,2.7266,2.5298,7.6736,5.192,9.6854,FALSE,TRUE,FALSE,FALSE
41,2.825,2.5406,7.7348,5.1224,9.6314,FALSE,TRUE,FALSE,FALSE
42,2.7962,2.6786,7.8272,5.1812,9.5702,FALSE,TRUE,FALSE,FALSE
