,IBC1020_2,IBC1207_1,IBC1207_3
0,1W6Thknzf2qup40FGN1NE2,0zk4WfOuPFg8xQ3bt9ab$I,03hb0ndU95PO$5sAGF2RQb
1,2_414Bjl90PPXdZA2Pm_WM,1iin7g1k928O2DBRSrKk2H,2_414Bjl90PPXdZA2Pm_Zk
2,2ex5B8xFnEHumuJWUHWId$,1iin7g1k928O2DBRSrKk1K,1W6Thknzf2qup40FGN1N30
3,0zk4WfOuPFg8xQ3bt9abzW,3Hrewwg9b5KejEicfrynsn,1iin7g1k928O2DBRSrKlKT
4,2$gFCyRLn3YxmJ7kU3eXtQ,1W6Thknzf2qup40FGN1NEA,1W6Thknzf2qup40FGN1N9M
5,1W6Thknzf2qup40FGN1NEA,2_414Bjl90PPXdZA2Pm_ZS,0zk4WfOuPFg8xQ3bt9ab$I
6,3fetmy$FH9ZAKfQ_vq7_Pt,1iin7g1k928O2DBRSrKk0E,1iin7g1k928O2DBRSrKlM5
7,3fetmy$FH9ZAKfQ_vq7_Jf,1iin7g1k928O2DBRSrKk3B,1iin7g1k928O2DBRSrKk0E
8,2ex5B8xFnEHumuJWUHWJON,1iin7g1k928O2DBRSrKl7s,1$oxVaKhLDJu2CngOBCgIv
9,2_414Bjl90PPXdZA2Pm_W$,3fetmy$FH9ZAKfQ_vq7_Jf,1W6Thknzf2qup40FGN1NEA
10,0zk4WfOuPFg8xQ3bt9abwA,3Hrewwg9b5KejEicfryntV,1iin7g1k928O2DBRSrKk3B
11,0zk4WfOuPFg8xQ3bt9abwO,1W6Thknzf2qup40FGN1N9M,1iin7g1k928O2DBRSrKl7s
12,2_414Bjl90PPXdZA2Pm_Wa,,3fetmy$FH9ZAKfQ_vq7_Jf
13,1$oxVaKhLDJu2CngOBCgIv,,1iin7g1k928O2DBRSrKlO6
14,,,1iin7g1k928O2DBRSrKlQo
15,,,1iin7g1k928O2DBRSrKk2H
16,,,1iin7g1k928O2DBRSrKk1K
17,,,2_414Bjl90PPXdZA2Pm_ZS
18,,,03hb0ndU95PO$5sAGF2RQt
19,,,3fetmy$FH9ZAKfQ_vq7_Pt
20,,,3Hrewwg9b5KejEicfryntV
21,,,0zk4WfOuPFg8xQ3bt9abwO
22,,,2_414Bjl90PPXdZA2Pm_Wa
23,,,3fetmy$FH9ZAKfQ_vq7zg1
24,,,3Hrewwg9b5KejEicfrynsn
25,,,0zk4WfOuPFg8xQ3bt9ab_k
