,IBC1020_2,IBC1207_1,IBC1207_3
0,0zk4WfOuPFg8xQ3bt9abwA,2_414Bjl90PPXdZA2Pm_ZS,1W6Thknzf2qup40FGN1N30
1,2_414Bjl90PPXdZA2Pm_W$,1iin7g1k928O2DBRSrKk2H,1iin7g1k928O2DBRSrKlKT
2,2ex5B8xFnEHumuJWUHWId$,1iin7g1k928O2DBRSrKk0E,0zk4WfOuPFg8xQ3bt9ab_k
3,2_414Bjl90PPXdZA2Pm_WM,0zk4WfOuPFg8xQ3bt9ab$I,2_414Bjl90PPXdZA2Pm_Wa
4,2_414Bjl90PPXdZA2Pm_Wa,1W6Thknzf2qup40FGN1NEA,2_414Bjl90PPXdZA2Pm_ZS
5,0zk4WfOuPFg8xQ3bt9abzW,1iin7g1k928O2DBRSrKk1K,1iin7g1k928O2DBRSrKk2H
6,1W6Thknzf2qup40FGN1NE2,1iin7g1k928O2DBRSrKl7s,2_414Bjl90PPXdZA2Pm_Zk
7,0zk4WfOuPFg8xQ3bt9abwO,1iin7g1k928O2DBRSrKk3B,1iin7g1k928O2DBRSrKlO6
8,1W6Thknzf2qup40FGN1NEA,,1iin7g1k928O2DBRSrKlM5
9,2ex5B8xFnEHumuJWUHWJON,,0zk4WfOuPFg8xQ3bt9abwO
10,2$gFCyRLn3YxmJ7kU3eXtQ,,0zk4WfOuPFg8xQ3bt9ab$I
11,,,1iin7g1k928O2DBRSrKlQo
12,,,1W6Thknzf2qup40FGN1NEA
13,,,1iin7g1k928O2DBRSrKk1K
14,,,1iin7g1k928O2DBRSrKk0E
15,,,1iin7g1k928O2DBRSrKl7s
16,,,1iin7g1k928O2DBRSrKk3B
17,,,3fetmy$FH9ZAKfQ_vq7zg1
