,IBC1020_2,IBC1207_1,IBC1207_3
0,D_ue_E1_OK_distance_ew6,D_ue_U1_OK_distance_sn24,D_ue_U1_OK_distance_sn12
1,D_ue_E0_OK_distance_ew8,D_ue_E0_OK_distance_sn25,D_ue_U1_OK_distance_sn25
2,D_ue_E1_OK_distance_ew5,D_ue_E1_OK_distance_sn26,D_ue_E0_OK_distance_sn11
3,D_ue_E0_OK_distance_ew4,D_ue_E0_OK_distance_ew32,D_ue_U1_OK_distance_sn24
4,D_ue_U1_OK_distance_ew6,D_ue_E0_OK_distance_sn26,D_ue_E0_OK_distance_sn22
5,D_ue_E0_OK_distance_sn19,D_ue_U1_OK_distance_ew6,D_ue_E0_OK_distance_sn25
6,D_ue_U1_OK_distance_sn21,D_ue_E1_OK_distance_sn27,D_ue_E1_OK_distance_sn24
7,D_ue_E1_OK_distance_ew2,D_ue_E1_OK_distance_ew29,D_ue_E1_OK_distance_sn26
8,D_ue_E1_OK_distance_sn21,,D_ue_E0_OK_distance_ew32
9,D_ue_E0_OK_distance_ew7,,D_ue_E1_OK_distance_ew5
10,D_ue_U1_OK_distance_ew7,,D_ue_E1_OK_distance_sn11
11,,,D_ue_E0_OK_distance_sn23
12,,,D_ue_E1_OK_distance_sn23
13,,,D_ue_E0_OK_distance_sn26
14,,,D_ue_U1_OK_distance_ew6
15,,,D_ue_E1_OK_distance_sn27
16,,,D_ue_E1_OK_distance_ew29
17,,,D_ue_E0_OK_distance_ew7
