,IBC1020_2,IBC1207_1,IBC1207_3
0,1W6Thknzf2qup40FGN1NEA,1W6Thknzf2qup40FGN1NEA,1W6Thknzf2qup40FGN1NEA
1,24CUluy7v9PexUf_brGpoA,2SzsE5m8T4h9JlM6XpBSmL,2SzsE5m8T4h9JlM6XpBSmL
2,24CUluy7v9PexUf_brGpoE,2SzsE5m8T4h9JlM6XpBSmM,2_414Bjl90PPXdZA2Pm_Zk
3,2SzsE5m8T4h9JlM6XpBSmP,1iin7g1k928O2DBRSrKl7s,2SzsE5m8T4h9JlM6XpBSmP
4,2SzsE5m8T4h9JlM6XpBSmz,2SzsE5m8T4h9JlM6XpBSmT,2SzsE5m8T4h9JlM6XpBSmM
5,2SzsE5m8T4h9JlM6XpBSmV,0zk4WfOuPFg8xQ3bt9ab$I,1iin7g1k928O2DBRSrKl7s
6,2SzsE5m8T4h9JlM6XpBSnp,2SzsE5m8T4h9JlM6XpBSn3,3fetmy$FH9ZAKfQ_vq7zg1
7,2SzsE5m8T4h9JlM6XpBSn1,2SzsE5m8T4h9JlM6XpBSnb,2SzsE5m8T4h9JlM6XpBSmT
8,2SzsE5m8T4h9JlM6XpBSny,2SzsE5m8T4h9JlM6XpBSnY,2SzsE5m8T4h9JlM6XpBSn3
9,2SzsE5m8T4h9JlM6XpBSnD,2SzsE5m8T4h9JlM6XpBSmE,0zk4WfOuPFg8xQ3bt9ab$I
10,2ex5B8xFnEHumuJWUHWJON,1iin7g1k928O2DBRSrKk0E,2SzsE5m8T4h9JlM6XpBSnb
11,2SzsE5m8T4h9JlM6XpBSkx,2SzsE5m8T4h9JlM6XpBSnd,2SzsE5m8T4h9JlM6XpBSnY
12,24CUluy7v9PexUf_brGpo2,1iin7g1k928O2DBRSrKk3B,0zk4WfOuPFg8xQ3bt9abwO
13,24CUluy7v9PexUf_brGpoC,2SzsE5m8T4h9JlM6XpBSp7,1iin7g1k928O2DBRSrKlO6
14,2SzsE5m8T4h9JlM6XpBSn3,2SzsE5m8T4h9JlM6XpBSmK,2SzsE5m8T4h9JlM6XpBSmE
15,2SzsE5m8T4h9JlM6XpBSnb,2SzsE5m8T4h9JlM6XpBSmN,1iin7g1k928O2DBRSrKk0E
16,2SzsE5m8T4h9JlM6XpBSmo,2SzsE5m8T4h9JlM6XpBSm7,2SzsE5m8T4h9JlM6XpBSnd
17,2SzsE5m8T4h9JlM6XpBSnY,2SzsE5m8T4h9JlM6XpBSp6,2SzsE5m8T4h9JlM6XpBSmA
18,0zk4WfOuPFg8xQ3bt9abwO,1iin7g1k928O2DBRSrKk1K,1iin7g1k928O2DBRSrKk3B
19,2SzsE5m8T4h9JlM6XpBSmq,2SzsE5m8T4h9JlM6XpBSmv,2SzsE5m8T4h9JlM6XpBSp7
20,2SzsE5m8T4h9JlM6XpBSnJ,2SzsE5m8T4h9JlM6XpBSna,2SzsE5m8T4h9JlM6XpBSmK
21,2SzsE5m8T4h9JlM6XpBSmI,2SzsE5m8T4h9JlM6XpBSmm,2SzsE5m8T4h9JlM6XpBSmN
22,2SzsE5m8T4h9JlM6XpBSnj,2SzsE5m8T4h9JlM6XpBSmu,2SzsE5m8T4h9JlM6XpBSm7
