,IBC1020_2,IBC1207_1,IBC1207_3
0,2SzsE5m8T4h9JlM6XpBSnX,2_414Bjl90PPXdZA2Pm_ZS,2_414Bjl90PPXdZA2Pm_ZS
1,2SzsE5m8T4h9JlM6XpBSna,2SzsE5m8T4h9JlM6XpBSmN,2SzsE5m8T4h9JlM6XpBSmN
2,2SzsE5m8T4h9JlM6XpBSm8,2SzsE5m8T4h9JlM6XpBSna,2SzsE5m8T4h9JlM6XpBSna
3,0zk4WfOuPFg8xQ3bt9abzW,2SzsE5m8T4h9JlM6XpBSmv,2SzsE5m8T4h9JlM6XpBSm8
4,2SzsE5m8T4h9JlM6XpBSmB,2SzsE5m8T4h9JlM6XpBSmE,2SzsE5m8T4h9JlM6XpBSmB
5,2SzsE5m8T4h9JlM6XpBSkx,2SzsE5m8T4h9JlM6XpBSmT,0zk4WfOuPFg8xQ3bt9ab_k
6,2SzsE5m8T4h9JlM6XpBSnD,1iin7g1k928O2DBRSrKk0E,2SzsE5m8T4h9JlM6XpBSmv
7,2SzsE5m8T4h9JlM6XpBSmV,1iin7g1k928O2DBRSrKk3B,1iin7g1k928O2DBRSrKlKT
8,24CUluy7v9PexUf_brGpoA,2SzsE5m8T4h9JlM6XpBSnb,2SzsE5m8T4h9JlM6XpBSmE
9,2SzsE5m8T4h9JlM6XpBSmk,0zk4WfOuPFg8xQ3bt9ab$I,2SzsE5m8T4h9JlM6XpBSmw
10,2SzsE5m8T4h9JlM6XpBSmw,2SzsE5m8T4h9JlM6XpBSnd,2SzsE5m8T4h9JlM6XpBSmT
11,24CUluy7v9PexUf_brGpo2,1W6Thknzf2qup40FGN1NEA,2SzsE5m8T4h9JlM6XpBSmA
12,0zk4WfOuPFg8xQ3bt9abwA,2SzsE5m8T4h9JlM6XpBSmM,1iin7g1k928O2DBRSrKlO6
13,2SzsE5m8T4h9JlM6XpBSmI,2SzsE5m8T4h9JlM6XpBSmu,1iin7g1k928O2DBRSrKk0E
14,2SzsE5m8T4h9JlM6XpBSmA,2SzsE5m8T4h9JlM6XpBSmK,2SzsE5m8T4h9JlM6XpBSnb
15,1W6Thknzf2qup40FGN1NE2,2SzsE5m8T4h9JlM6XpBSmL,1iin7g1k928O2DBRSrKk3B
16,24CUluy7v9PexUf_brGpoC,2SzsE5m8T4h9JlM6XpBSp7,0zk4WfOuPFg8xQ3bt9ab$I
17,2SzsE5m8T4h9JlM6XpBSnj,1iin7g1k928O2DBRSrKl7s,2SzsE5m8T4h9JlM6XpBSnd
18,2ex5B8xFnEHumuJWUHWJON,2SzsE5m8T4h9JlM6XpBSnY,1W6Thknzf2qup40FGN1NEA
19,24CUluy7v9PexUf_brGpo0,1iin7g1k928O2DBRSrKk1K,0zk4WfOuPFg8xQ3bt9abwO
20,2SzsE5m8T4h9JlM6XpBSmh,1iin7g1k928O2DBRSrKk2H,2SzsE5m8T4h9JlM6XpBSmM
21,2ex5B8xFnEHumuJWUHWId$,2SzsE5m8T4h9JlM6XpBSp6,2SzsE5m8T4h9JlM6XpBSmu
22,2$gFCyRLn3YxmJ7kU3eXtQ,,2SzsE5m8T4h9JlM6XpBSmK
23,2_414Bjl90PPXdZA2Pm_WM,,2SzsE5m8T4h9JlM6XpBSmz
24,24CUluy7v9PexUf_brGpoE,,1W6Thknzf2qup40FGN1N30
25,2SzsE5m8T4h9JlM6XpBSnb,,2SzsE5m8T4h9JlM6XpBSmL
26,2SzsE5m8T4h9JlM6XpBSnd,,1iin7g1k928O2DBRSrKlQo
27,1W6Thknzf2qup40FGN1NEA,,2SzsE5m8T4h9JlM6XpBSmy
28,0zk4WfOuPFg8xQ3bt9abwO,,2SzsE5m8T4h9JlM6XpBSm9
29,2SzsE5m8T4h9JlM6XpBSmg,,3fetmy$FH9ZAKfQ_vq7zg1
30,2SzsE5m8T4h9JlM6XpBSmz,,2SzsE5m8T4h9JlM6XpBSmx
31,24CUluy7v9PexUf_brGpo4,,2SzsE5m8T4h9JlM6XpBSp7
32,2SzsE5m8T4h9JlM6XpBSn1,,2_414Bjl90PPXdZA2Pm_Wa
33,2SzsE5m8T4h9JlM6XpBSmy,,1iin7g1k928O2DBRSrKl7s
34,2SzsE5m8T4h9JlM6XpBSmO,,2SzsE5m8T4h9JlM6XpBSnY
35,2SzsE5m8T4h9JlM6XpBSm9,,2_414Bjl90PPXdZA2Pm_Zk
36,2_414Bjl90PPXdZA2Pm_W$,,1iin7g1k928O2DBRSrKk1K
37,2SzsE5m8T4h9JlM6XpBSny,,1iin7g1k928O2DBRSrKk2H
38,2SzsE5m8T4h9JlM6XpBSmx,,2SzsE5m8T4h9JlM6XpBSp6
39,2SzsE5m8T4h9JlM6XpBSnU,,1iin7g1k928O2DBRSrKlM5
40,2_414Bjl90PPXdZA2Pm_Wa,,
41,2SzsE5m8T4h9JlM6XpBSnY,,
42,2SzsE5m8T4h9JlM6XpBSm0,,
43,2SzsE5m8T4h9JlM6XpBSnp,,
