,IBC1020_2,IBC1207_1,IBC1207_3
0,D_ue_E1_OK_distance_ew2,D_ue_U1_OK_distance_sn25,D_ue_U1_OK_distance_sn25
1,D_ue_E1_OK_distance_sn14,D_ue_E0_OK_distance_sn18,D_ue_E0_OK_distance_sn18
2,D_ue_U1_OK_distance_sn18,D_ue_E0_OK_distance_ew31,D_ue_E0_OK_distance_ew7
3,D_ue_U1_OK_distance_ew24,D_ue_U1_OK_distance_sn21,D_ue_E0_OK_distance_ew31
4,D_ue_E0_OK_distance_sn15,D_ue_E0_OK_distance_ew16,D_ue_U1_OK_distance_sn21
5,D_ue_E1_OK_distance_sn0,D_ue_E0_OK_distance_sn8,D_ue_E0_OK_distance_ew16
6,D_ue_E1_OK_distance_ew4,D_ue_E0_OK_distance_ew32,D_ue_E0_OK_distance_sn8
7,D_ue_E1_OK_distance_sn20,D_ue_U1_OK_distance_sn12,D_ue_E0_OK_distance_ew32
8,D_ue_E0_OK_distance_ew11,D_ue_E1_OK_distance_sn20,D_ue_U1_OK_distance_sn12
9,D_ue_E1_OK_distance_ew34,D_ue_E1_OK_distance_sn26,D_ue_E1_OK_distance_sn20
10,D_ue_E1_OK_distance_sn23,D_ue_E1_OK_distance_sn8,D_ue_E1_OK_distance_sn26
11,D_ue_E0_OK_distance_sn23,D_ue_U1_OK_distance_sn24,D_ue_E1_OK_distance_sn8
12,D_ue_E0_OK_distance_ew33,D_ue_E1_OK_distance_sn25,D_ue_U1_OK_distance_sn24
13,D_ue_E0_OK_distance_ew34,D_ue_E0_OK_distance_sn26,D_ue_E0_OK_distance_sn11
14,D_ue_E1_OK_distance_sn1,D_ue_E1_OK_distance_sn27,D_ue_E1_OK_distance_sn25
15,D_ue_E0_OK_distance_ew6,D_ue_E1_OK_distance_ew29,D_ue_E1_OK_distance_ew5
16,D_ue_U1_OK_distance_ew19,D_ue_E1_OK_distance_sn1,D_ue_E0_OK_distance_sn26
17,D_ue_E0_OK_distance_sn1,D_ue_U1_OK_distance_ew6,D_ue_E1_OK_distance_sn23
18,D_ue_E0_OK_distance_sn22,D_ue_E0_OK_distance_sn24,D_ue_E0_OK_distance_sn23
19,D_ue_U1_OK_distance_sn25,D_ue_E1_OK_distance_ew28,D_ue_E1_OK_distance_sn11
20,D_ue_U1_OK_distance_ew34,D_ue_E1_OK_distance_ew13,D_ue_E0_OK_distance_sn19
21,D_ue_E1_OK_distance_ew3,D_ue_E0_OK_distance_sn25,D_ue_E1_OK_distance_sn24
22,D_ue_U1_OK_distance_sn1,D_ue_E0_OK_distance_sn1,D_ue_E1_OK_distance_sn27
23,D_ue_U1_OK_distance_sn10,,D_ue_E1_OK_distance_ew29
24,D_ue_E0_OK_distance_ew28,,D_ue_E1_OK_distance_sn1
25,D_ue_U1_OK_distance_sn21,,D_ue_U1_OK_distance_ew6
26,D_ue_E0_OK_distance_ew0,,D_ue_E1_OK_distance_sn21
27,D_ue_U1_OK_distance_sn20,,D_ue_E0_OK_distance_sn24
28,D_ue_E1_OK_distance_ew31,,D_ue_E1_OK_distance_ew28
29,D_ue_E0_OK_distance_ew25,,D_ue_E1_OK_distance_ew13
30,D_ue_U1_OK_distance_ew33,,D_ue_E0_OK_distance_sn25
31,D_ue_U1_OK_distance_ew3,,D_ue_E0_OK_distance_sn1
32,D_ue_E0_OK_distance_sn19,,D_ue_E0_OK_distance_sn22
33,D_ue_E0_OK_distance_ew4,,
34,D_ue_E0_OK_distance_ew20,,
35,D_ue_U1_OK_distance_ew25,,
36,D_ue_U1_OK_distance_ew6,,
37,D_ue_E1_OK_distance_ew20,,
38,D_ue_E1_OK_distance_ew21,,
39,D_ue_U1_OK_distance_sn16,,
40,D_ue_E0_OK_distance_ew7,,
41,D_ue_U1_OK_distance_ew2,,
42,D_ue_U1_OK_distance_ew5,,
43,D_ue_E1_OK_distance_ew14,,
44,D_ue_E0_OK_distance_ew3,,
45,D_ue_E0_OK_distance_ew23,,
46,D_ue_U1_OK_distance_ew26,,
47,D_ue_E1_OK_distance_ew19,,
48,D_ue_U1_OK_distance_sn24,,
49,D_ue_E1_OK_distance_sn16,,
50,D_ue_E0_OK_distance_sn11,,
51,D_ue_E1_OK_distance_ew5,,
52,D_ue_E1_OK_distance_ew30,,
53,D_ue_E0_OK_distance_sn9,,
54,D_ue_E1_OK_distance_ew6,,
55,D_ue_E1_OK_distance_sn21,,
56,D_ue_E0_OK_distance_ew17,,
57,D_ue_E0_OK_distance_ew24,,
58,D_ue_E0_OK_distance_sn0,,
59,D_ue_E0_OK_distance_sn18,,
60,D_ue_U1_OK_distance_ew27,,
61,D_ue_E0_OK_distance_ew26,,
62,D_ue_U1_OK_distance_ew9,,
63,D_ue_E1_OK_distance_ew22,,
64,D_ue_E1_OK_distance_ew0,,
65,D_ue_E1_OK_distance_ew24,,
66,D_ue_E1_OK_distance_ew25,,
67,D_ue_U1_OK_distance_ew35,,
68,D_ue_U1_OK_distance_sn12,,
69,D_ue_E0_OK_distance_ew2,,
70,D_ue_U1_OK_distance_ew4,,
71,D_ue_E1_OK_distance_ew1,,
72,D_ue_E1_OK_distance_sn11,,
73,D_ue_E0_OK_distance_ew5,,
74,D_ue_E1_OK_distance_sn24,,
75,D_ue_U1_OK_distance_ew7,,
76,D_ue_E1_OK_distance_sn9,,
77,D_ue_U1_OK_distance_sn0,,
78,D_ue_U1_OK_distance_ew29,,
79,D_ue_E0_OK_distance_ew8,,
80,D_ue_E1_OK_distance_ew8,,
