,IBC1020_2,IBC1207_1,IBC1207_3
0,D_ue_U1_OK_distance_sn23,D_ue_U1_OK_distance_sn23,D_ue_U1_OK_distance_sn23
1,D_ue_E0_OK_distance_ew7,D_ue_E0_OK_distance_sn25,D_ue_E0_OK_distance_ew7
2,D_ue_E0_OK_distance_ew8,D_ue_E0_OK_distance_ew32,D_ue_E1_OK_distance_sn11
3,D_ue_E1_OK_distance_ew5,D_ue_E1_OK_distance_ew29,D_ue_E1_OK_distance_ew29
4,D_ue_U1_OK_distance_ew6,D_ue_U1_OK_distance_ew6,D_ue_E1_OK_distance_sn26
5,D_ue_E0_OK_distance_ew4,D_ue_E1_OK_distance_sn27,D_ue_E0_OK_distance_sn22
6,D_ue_E1_OK_distance_ew2,D_ue_E0_OK_distance_ew35,D_ue_E0_OK_distance_ew36
7,D_ue_E1_OK_distance_ew6,D_ue_U1_OK_distance_sn24,D_ue_E1_OK_distance_sn19
8,D_ue_U1_OK_distance_ew7,D_ue_E0_OK_distance_sn26,D_ue_E0_OK_distance_sn21
9,D_ue_E0_OK_distance_sn19,D_ue_E1_OK_distance_sn26,D_ue_E1_OK_distance_sn24
10,D_ue_U1_OK_distance_sn21,D_ue_E1_OK_distance_ew32,D_ue_E0_OK_distance_ew32
11,D_ue_E1_OK_distance_sn19,D_ue_U1_OK_distance_ew36,D_ue_E1_OK_distance_ew5
12,D_ue_E0_OK_distance_sn21,,D_ue_E1_OK_distance_ew33
13,D_ue_E1_OK_distance_sn21,,D_ue_U1_OK_distance_sn24
14,,,D_ue_E1_OK_distance_ew32
15,,,D_ue_E1_OK_distance_sn23
16,,,D_ue_E0_OK_distance_sn23
17,,,D_ue_E0_OK_distance_sn25
18,,,D_ue_E0_OK_distance_sn11
19,,,D_ue_E1_OK_distance_sn27
20,,,D_ue_E0_OK_distance_ew35
21,,,D_ue_E0_OK_distance_sn26
22,,,D_ue_U1_OK_distance_sn25
23,,,D_ue_U1_OK_distance_ew6
24,,,D_ue_U1_OK_distance_sn12
25,,,D_ue_U1_OK_distance_ew36
