,IBC1020_2,IBC1207_1,IBC1207_3
0,D_ue_U1_OK_distance_ew34,D_ue_E1_OK_distance_sn22,D_ue_E1_OK_distance_sn22
1,D_ue_E1_OK_distance_sn22,D_ue_E0_OK_distance_ew15,D_ue_E0_OK_distance_ew15
2,D_ue_E0_OK_distance_ew23,D_ue_U1_OK_distance_sn20,D_ue_U1_OK_distance_sn20
3,D_ue_U1_OK_distance_sn20,D_ue_E1_OK_distance_ew25,D_ue_E1_OK_distance_ew25
4,D_ue_E0_OK_distance_ew0,D_ue_E0_OK_distance_sn1,D_ue_E0_OK_distance_sn1
5,D_ue_E1_OK_distance_ew18,D_ue_E1_OK_distance_sn10,D_ue_E1_OK_distance_sn10
6,D_ue_E1_OK_distance_sn19,D_ue_E1_OK_distance_sn25,D_ue_E1_OK_distance_sn25
7,D_ue_U1_OK_distance_sn15,D_ue_E1_OK_distance_sn8,D_ue_E1_OK_distance_sn8
8,D_ue_E0_OK_distance_sn14,D_ue_E0_OK_distance_sn21,D_ue_E0_OK_distance_sn21
9,D_ue_E1_OK_distance_ew26,D_ue_E0_OK_distance_ew29,D_ue_E0_OK_distance_ew29
10,D_ue_U1_OK_distance_ew33,D_ue_E1_OK_distance_sn23,D_ue_E1_OK_distance_sn23
11,D_ue_U1_OK_distance_ew19,D_ue_E0_OK_distance_sn8,D_ue_E0_OK_distance_sn8
12,D_ue_E1_OK_distance_sn13,D_ue_E0_OK_distance_sn24,D_ue_E0_OK_distance_sn24
13,D_ue_E0_OK_distance_sn17,D_ue_U1_OK_distance_sn23,D_ue_U1_OK_distance_sn23
14,D_ue_E1_OK_distance_ew30,D_ue_E1_OK_distance_ew12,D_ue_E1_OK_distance_ew12
15,D_ue_E0_OK_distance_sn1,D_ue_E0_OK_distance_sn18,D_ue_E0_OK_distance_sn18
16,D_ue_U1_OK_distance_ew7,D_ue_E0_OK_distance_sn10,D_ue_E0_OK_distance_sn10
17,D_ue_U1_OK_distance_sn17,D_ue_E1_OK_distance_ew4,D_ue_E1_OK_distance_ew4
18,D_ue_E0_OK_distance_ew16,D_ue_U1_OK_distance_sn11,D_ue_U1_OK_distance_sn11
19,D_ue_E1_OK_distance_sn10,D_ue_E1_OK_distance_sn24,D_ue_E1_OK_distance_sn24
20,D_ue_U1_OK_distance_ew4,D_ue_U1_OK_distance_ew6,D_ue_U1_OK_distance_ew6
21,D_ue_E1_OK_distance_ew2,D_ue_E0_OK_distance_ew6,D_ue_E0_OK_distance_ew6
22,D_ue_E0_OK_distance_sn21,D_ue_E1_OK_distance_sn1,D_ue_E1_OK_distance_sn1
23,D_ue_E1_OK_distance_ew27,D_ue_E0_OK_distance_sn22,D_ue_E0_OK_distance_sn22
24,D_ue_U1_OK_distance_ew25,D_ue_E0_OK_distance_sn23,D_ue_E0_OK_distance_sn23
25,D_ue_E0_OK_distance_ew19,D_ue_E1_OK_distance_sn20,D_ue_E1_OK_distance_sn20
26,D_ue_E1_OK_distance_ew3,,
27,D_ue_E1_OK_distance_ew5,,
28,D_ue_U1_OK_distance_sn1,,
29,D_ue_U1_OK_distance_ew24,,
30,D_ue_U1_OK_distance_ew5,,
31,D_ue_E0_OK_distance_ew7,,
32,D_ue_E1_OK_distance_ew7,,
33,D_ue_E1_OK_distance_ew13,,
34,D_ue_E1_OK_distance_sn9,,
35,D_ue_U1_OK_distance_ew32,,
36,D_ue_E1_OK_distance_ew19,,
37,D_ue_E1_OK_distance_sn15,,
38,D_ue_U1_OK_distance_sn23,,
39,D_ue_E0_OK_distance_sn18,,
40,D_ue_E0_OK_distance_sn10,,
41,D_ue_E1_OK_distance_ew4,,
42,D_ue_U1_OK_distance_ew9,,
43,D_ue_U1_OK_distance_sn11,,
44,D_ue_E0_OK_distance_ew10,,
45,D_ue_U1_OK_distance_ew6,,
46,D_ue_E0_OK_distance_ew6,,
47,D_ue_E0_OK_distance_ew22,,
48,D_ue_E0_OK_distance_ew5,,
49,D_ue_E0_OK_distance_ew4,,
50,D_ue_E1_OK_distance_sn20,,
51,D_ue_E1_OK_distance_sn1,,
52,D_ue_E0_OK_distance_sn9,,
53,D_ue_U1_OK_distance_sn19,,
54,D_ue_U1_OK_distance_sn10,,
55,D_ue_E0_OK_distance_ew30,,
