,IBC1020_2,IBC1207_1,IBC1207_3
0,2_414Bjl90PPXdZA2Pm_Wa,1W6Thknzf2qup40FGN1NEA,2_414Bjl90PPXdZA2Pm_Wa
1,2_414Bjl90PPXdZA2Pm_WM,0zk4WfOuPFg8xQ3bt9ab$I,2_414Bjl90PPXdZA2Pm_ZS
2,1W6Thknzf2qup40FGN1NEA,1iin7g1k928O2DBRSrKk3B,1W6Thknzf2qup40FGN1NEA
3,0zk4WfOuPFg8xQ3bt9abwO,1iin7g1k928O2DBRSrKk2H,0zk4WfOuPFg8xQ3bt9ab$I
4,1W6Thknzf2qup40FGN1NE2,1iin7g1k928O2DBRSrKl7s,1iin7g1k928O2DBRSrKlM5
5,2_414Bjl90PPXdZA2Pm_W$,1iin7g1k928O2DBRSrKk0E,0zk4WfOuPFg8xQ3bt9abwO
6,0zk4WfOuPFg8xQ3bt9abwA,1iin7g1k928O2DBRSrKk1K,1W6Thknzf2qup40FGN1N30
7,2ex5B8xFnEHumuJWUHWId$,2_414Bjl90PPXdZA2Pm_ZS,1iin7g1k928O2DBRSrKk3B
8,2ex5B8xFnEHumuJWUHWJON,,1iin7g1k928O2DBRSrKk2H
9,0zk4WfOuPFg8xQ3bt9abzW,,3fetmy$FH9ZAKfQ_vq7zg1
10,2$gFCyRLn3YxmJ7kU3eXtQ,,1iin7g1k928O2DBRSrKl7s
11,,,1iin7g1k928O2DBRSrKlQo
12,,,1iin7g1k928O2DBRSrKk0E
13,,,1iin7g1k928O2DBRSrKlKT
14,,,1iin7g1k928O2DBRSrKk1K
15,,,0zk4WfOuPFg8xQ3bt9ab_k
16,,,1iin7g1k928O2DBRSrKlO6
17,,,2_414Bjl90PPXdZA2Pm_Zk
