ifcguid,area,id,name,olf_value,perimeter,space_function,unbounded_height,xyz,classification
2SzsE5m8T4h9JlM6XpBSn6,16.51430233801867,,Enclosed office,50.0,16.67619689600002,BUSINESS USE - CONCENTRATED,3.2,"[-41.60121353919464, -10.992292590843816, 0.0]",space
2SzsE5m8T4h9JlM6XpBSn7,23.400009663199835,,Open office,15.0,19.37446448000001,ASSEMBLY USE - STAGES AND PLATFORMS,3.2,"[-41.65121353919459, 20.27675795315619, 0.0]",space
2SzsE5m8T4h9JlM6XpBSn5,48.739119523526945,,Corridor,0.0,64.12024688000001,UNOCCUPIED,3.2,"[-52.421163503194606, 5.956767797156226, 0.0]",space
2SzsE5m8T4h9JlM6XpBSn3,10.115363883222715,,Corridor,0.0,23.85020254399996,UNOCCUPIED,3.2,"[-52.04119266319458, 21.74573545715623, 0.0]",space
2SzsE5m8T4h9JlM6XpBSn1,12.07803803362239,,Stairway,0.0,14.719792976000008,UNOCCUPIED,3.2,"[-49.07616333519459, 16.611757409156212, 0.0]",space
2SzsE5m8T4h9JlM6XpBSnD,11.589054070939675,,Stairway,0.0,14.519795408000016,UNOCCUPIED,3.2,"[-49.07616333519462, -6.25009882284379, 0.0]",space
2SzsE5m8T4h9JlM6XpBSnA,15.554275711619319,,Breakout space,15.0,16.299715856000006,ASSEMBLY USE - UNCONCENTRATED,3.2,"[-41.60121353919461, -5.913171378843814, 0.0]",space
2SzsE5m8T4h9JlM6XpBSn8,58.43001965226616,,Breakout space,15.0,33.113733536000005,ASSEMBLY USE - UNCONCENTRATED,3.2,"[-41.601213539194596, 4.098324473156191, 0.0]",space
2SzsE5m8T4h9JlM6XpBSn9,20.14499701480009,,Enclosed office,50.0,18.099998768000013,BUSINESS USE - CONCENTRATED,3.2,"[-41.6012135391946, 11.901757685156188, 0.0]",space
2SzsE5m8T4h9JlM6XpBSnM,20.1449970148001,,Enclosed office,50.0,18.099998768000003,BUSINESS USE - CONCENTRATED,3.2,"[-41.601213539194596, 15.951757205156193, 0.0]",space
2SzsE5m8T4h9JlM6XpBSnN,73.81214956151841,,Corridor,0.0,69.3074911680002,UNOCCUPIED,3.2,"[-45.39121363119461, 8.701774501156237, 0.0]",space
2SzsE5m8T4h9JlM6XpBSnL,21.778033439481767,,Corridor,0.0,28.516088879999998,UNOCCUPIED,3.2,"[-45.28616324319462, -8.379170714843807, 0.0]",space
2SzsE5m8T4h9JlM6XpBSnG,11.535629471583608,,Confidential meetings room,50.0,14.72377611200016,BUSINESS USE - CONCENTRATED,3.2,"[-41.60121353919457, 23.757703037156226, 0.0]",space
2SzsE5m8T4h9JlM6XpBSnS,21.136550926727427,,Enclosed office,50.0,19.531112192000037,BUSINESS USE - CONCENTRATED,3.2,"[-54.28744277919463, -10.992292590843773, 0.0]",space
2SzsE5m8T4h9JlM6XpBSnT,17.977327308556266,,Enclosed office,50.0,16.95991875200005,BUSINESS USE - CONCENTRATED,3.2,"[-55.436192831194624, -7.148242314843766, 0.0]",space
2SzsE5m8T4h9JlM6XpBSnQ,16.708329731220534,,Enclosed office,50.0,16.35991385600004,BUSINESS USE - CONCENTRATED,3.2,"[-55.43619283119461, -2.948241570843767, 0.0]",space
2SzsE5m8T4h9JlM6XpBSnR,16.708329731220495,,Enclosed office,50.0,16.359913856000034,BUSINESS USE - CONCENTRATED,3.2,"[-55.4361928311946, 1.101757949156235, 0.0]",space
2SzsE5m8T4h9JlM6XpBSnO,16.700890522046866,,Enclosed office,50.0,16.356396464000014,BUSINESS USE - CONCENTRATED,3.2,"[-55.436192831194596, 5.150878121156235, 0.0]",space
2SzsE5m8T4h9JlM6XpBSnP,16.71576894039414,,Enclosed office,50.0,16.363431248000023,BUSINESS USE - CONCENTRATED,3.2,"[-55.436192831194596, 9.200877641156234, 0.0]",space
2SzsE5m8T4h9JlM6XpBSnc,17.533179445779698,,Enclosed office,50.0,16.74991764800001,BUSINESS USE - CONCENTRATED,3.2,"[-55.436192831194596, 13.349257457156236, 0.0]",space
2SzsE5m8T4h9JlM6XpBSnd,5.361709400012002,,Enclosed office,50.0,9.317912192000165,BUSINESS USE - CONCENTRATED,3.2,"[-53.83867095519459, 23.596669577156266, 0.0]",space
2SzsE5m8T4h9JlM6XpBSna,6.653684640788199,,Enclosed office,50.0,10.31791040000011,BUSINESS USE - CONCENTRATED,3.2,"[-56.26367149119458, 23.59666957715628, 0.0]",space
2SzsE5m8T4h9JlM6XpBSnb,8.785447670203286,,Enclosed office,50.0,11.967910448000204,BUSINESS USE - CONCENTRATED,3.2,"[-48.33121384719459, 23.596669577156245, 0.0]",space
2SzsE5m8T4h9JlM6XpBSnZ,12.95240068267327,,Enclosed office,50.0,14.476201088000012,BUSINESS USE - CONCENTRATED,3.2,"[-48.92371304319463, -10.992292590843789, 0.0]",space
2SzsE5m8T4h9JlM6XpBSnW,8.330004048097244,,Enclosed office,50.0,11.621194352000034,BUSINESS USE - CONCENTRATED,3.2,"[-45.53746276719463, -10.992292590843803, 0.0]",space
2SzsE5m8T4h9JlM6XpBSnX,53.50456917179902,,Meeting room,50.0,31.663509152000017,BUSINESS USE - CONCENTRATED,3.2,"[-49.076163335194614, 0.5058282291562135, 0.0]",space
2SzsE5m8T4h9JlM6XpBSnh,23.400009663199793,,Open office,15.0,19.374464479999993,ASSEMBLY USE - STAGES AND PLATFORMS,3.1999999999999997,"[-41.65121353919457, 20.27675795315619, 3.4999999999999996]",space
2SzsE5m8T4h9JlM6XpBSnf,11.535629471583587,,Confidential meetings room,50.0,14.72377611200016,BUSINESS USE - CONCENTRATED,3.1999999999999997,"[-41.60121353919457, 23.757703037156226, 3.4999999999999996]",space
2SzsE5m8T4h9JlM6XpBSnt,48.28224331498453,,Corridor,0.0,64.09024846400003,UNOCCUPIED,3.1999999999999997,"[-52.4136638991946, 5.956767797156219, 3.4999999999999996]",space
