,IBC1020_2,IBC1207_1,IBC1207_3
0,1W6Thknzf2qup40FGN1NEA,1W6Thknzf2qup40FGN1NEA,1W6Thknzf2qup40FGN1NEA
1,2ex5B8xFnEHumuJWUHWJON,2_414Bjl90PPXdZA2Pm_Wa,2_414Bjl90PPXdZA2Pm_Wa
2,2_414Bjl90PPXdZA2Pm_Wa,0zk4WfOuPFg8xQ3bt9ab$I,0zk4WfOuPFg8xQ3bt9ab$I
3,1W6Thknzf2qup40FGN1NE2,2_414Bjl90PPXdZA2Pm_ZS,2_414Bjl90PPXdZA2Pm_ZS
4,2ex5B8xFnEHumuJWUHWId$,1iin7g1k928O2DBRSrKl7s,1iin7g1k928O2DBRSrKl7s
5,0zk4WfOuPFg8xQ3bt9abzW,0zk4WfOuPFg8xQ3bt9abwO,0zk4WfOuPFg8xQ3bt9abwO
6,0zk4WfOuPFg8xQ3bt9abwO,1iin7g1k928O2DBRSrKk0E,1iin7g1k928O2DBRSrKk0E
7,2_414Bjl90PPXdZA2Pm_W$,1iin7g1k928O2DBRSrKlQo,1iin7g1k928O2DBRSrKlQo
8,2$gFCyRLn3YxmJ7kU3eXtQ,1iin7g1k928O2DBRSrKk2H,1iin7g1k928O2DBRSrKk2H
9,,1iin7g1k928O2DBRSrKk3B,1iin7g1k928O2DBRSrKk3B
10,,1iin7g1k928O2DBRSrKlO6,1iin7g1k928O2DBRSrKlO6
11,,1iin7g1k928O2DBRSrKk1K,1iin7g1k928O2DBRSrKk1K
