,IBC1020_2,IBC1207_1,IBC1207_3
0,D_ue_U1_OK_distance_ew7,D_ue_E0_OK_distance_sn22,D_ue_E0_OK_distance_sn22
1,D_ue_U1_OK_distance_ew6,D_ue_E1_OK_distance_sn24,D_ue_E1_OK_distance_sn24
2,D_ue_E1_OK_distance_ew4,D_ue_E0_OK_distance_ew29,D_ue_E0_OK_distance_ew29
3,D_ue_E0_OK_distance_ew7,D_ue_U1_OK_distance_ew6,D_ue_U1_OK_distance_ew6
4,D_ue_E1_OK_distance_ew5,D_ue_E0_OK_distance_sn20,D_ue_E0_OK_distance_sn20
5,D_ue_E0_OK_distance_ew6,D_ue_E1_OK_distance_ew4,D_ue_E1_OK_distance_ew4
6,,D_ue_E1_OK_distance_ew25,D_ue_E1_OK_distance_ew25
7,,D_ue_U1_OK_distance_sn22,D_ue_U1_OK_distance_sn22
8,,D_ue_E1_OK_distance_sn21,D_ue_E1_OK_distance_sn21
9,,D_ue_E1_OK_distance_sn23,D_ue_E1_OK_distance_sn23
10,,D_ue_E0_OK_distance_ew6,D_ue_E0_OK_distance_ew6
11,,D_ue_E0_OK_distance_sn23,D_ue_E0_OK_distance_sn23
