,IBC1020_2,IBC1207_1,IBC1207_3
0,0zk4WfOuPFg8xQ3bt9abzx,2_414Bjl90PPXdZA2Pm_W$,2_414Bjl90PPXdZA2Pm_W$
1,28pOo0cPL6KPXfzSWk0aFx,1W6Thknzf2qup40FGN1N30,1W6Thknzf2qup40FGN1N30
2,0zk4WfOuPFg8xQ3bt9abzW,0zk4WfOuPFg8xQ3bt9abwO,0zk4WfOuPFg8xQ3bt9abwO
3,1W6Thknzf2qup40FGN1NEA,0zk4WfOuPFg8xQ3bt9ab_k,0zk4WfOuPFg8xQ3bt9ab_k
4,1iin7g1k928O2DBRSrKlQo,16sF2PP3fDW80DhY_ucSjU,16sF2PP3fDW80DhY_ucSjU
5,28pOo0cPL6KPXfzSWk0aFt,0zk4WfOuPFg8xQ3bt9abzW,0zk4WfOuPFg8xQ3bt9abzW
6,1W6Thknzf2qup40FGN1NE2,1W6Thknzf2qup40FGN1NEA,1W6Thknzf2qup40FGN1NEA
7,0zk4WfOuPFg8xQ3bt9abwO,16sF2PP3fDW80DhY_ucSoT,16sF2PP3fDW80DhY_ucSoT
8,16sF2PP3fDW80DhY_ucSjU,1iin7g1k928O2DBRSrKlQo,1iin7g1k928O2DBRSrKlQo
9,1W6Thknzf2qup40FGN1N3C,1iin7g1k928O2DBRSrKl7s,1iin7g1k928O2DBRSrKl7s
10,16sF2PP3fDW80DhY_ucSoT,1W6Thknzf2qup40FGN1NE2,1W6Thknzf2qup40FGN1NE2
11,2_414Bjl90PPXdZA2Pm_W$,1iin7g1k928O2DBRSrKlO6,1iin7g1k928O2DBRSrKlO6
12,1iin7g1k928O2DBRSrKlO6,2_414Bjl90PPXdZA2Pm_Zk,2_414Bjl90PPXdZA2Pm_Zk
13,1W6Thknzf2qup40FGN1NEN,16sF2PP3fDW80DhY_ucSuj,16sF2PP3fDW80DhY_ucSuj
14,16sF2PP3fDW80DhY_ucSuj,2_414Bjl90PPXdZA2Pm_Wa,2_414Bjl90PPXdZA2Pm_Wa
15,2_414Bjl90PPXdZA2Pm_Wa,,
16,2_414Bjl90PPXdZA2Pm_X8,,
17,0zk4WfOuPFg8xQ3bt9ab_k,,
18,2_414Bjl90PPXdZA2Pm_ZI,,
19,2_414Bjl90PPXdZA2Pm_Zk,,
20,28pOo0cPL6KPXfzSWk0aBt,,
21,0zk4WfOuPFg8xQ3bt9ab_Y,,
22,1W6Thknzf2qup40FGN1N30,,
23,1iin7g1k928O2DBRSrKl7s,,
