,IBC1020_2,IBC1207_1,IBC1207_3
0,E1_OK_d_wl_sn20,E1_OK_d_wl_sn20,E1_OK_d_wl_sn20
1,E1_OK_d_wl_sn23,E0_OK_d_wl_ew6,E0_OK_d_wl_ew6
2,E1_OK_d_wl_ew5,E0_OK_d_wl_sn9,E0_OK_d_wl_sn9
3,U1_OK_d_wl_sn25,E1_OK_d_wl_ew4,E1_OK_d_wl_ew4
4,E0_OK_d_wl_sn22,U1_OK_d_wl_sn10,U1_OK_d_wl_sn10
5,E0_OK_d_wl_sn19,E0_OK_d_wl_sn24,E0_OK_d_wl_sn24
6,E1_OK_d_wl_sn0,U1_OK_d_wl_ew6,U1_OK_d_wl_ew6
7,E0_OK_d_wl_sn9,U1_OK_d_wl_sn25,U1_OK_d_wl_sn25
8,E0_OK_d_wl_sn0,E0_OK_d_wl_sn19,E0_OK_d_wl_sn19
9,E1_OK_d_wl_sn25,E1_OK_d_wl_sn25,E1_OK_d_wl_sn25
10,U1_OK_d_wl_ew6,U1_OK_d_wl_sn21,U1_OK_d_wl_sn21
11,E1_OK_d_wl_sn9,E1_OK_d_wl_sn9,E1_OK_d_wl_sn9
12,E0_OK_d_wl_ew6,,
13,E1_OK_d_wl_ew7,,
14,U1_OK_d_wl_sn10,,
15,E0_OK_d_wl_sn24,,
16,U1_OK_d_wl_sn9,,
17,E0_OK_d_wl_sn8,,
18,U1_OK_d_wl_sn23,,
19,E1_OK_d_wl_ew4,,
20,U1_OK_d_wl_ew9,,
21,E0_OK_d_wl_ew10,,
22,U1_OK_d_wl_sn0,,
23,E1_OK_d_wl_sn8,,
24,U1_OK_d_wl_ew7,,
25,E0_OK_d_wl_ew7,,
26,U1_OK_d_wl_sn21,,
