,IBC1020_2,IBC1207_1,IBC1207_3
0,D_ue_E0_OK_distance_sn14,D_ue_U1_OK_distance_sn11,D_ue_U1_OK_distance_sn11
1,D_ue_U1_OK_distance_ew9,D_ue_E1_OK_distance_ew12,D_ue_E1_OK_distance_sn10
2,D_ue_U1_OK_distance_ew7,D_ue_E1_OK_distance_sn8,D_ue_E1_OK_distance_ew12
3,D_ue_E1_OK_distance_sn13,D_ue_E0_OK_distance_sn1,D_ue_E1_OK_distance_sn8
4,D_ue_E0_OK_distance_ew4,D_ue_E1_OK_distance_sn24,D_ue_E0_OK_distance_sn1
5,D_ue_U1_OK_distance_sn17,D_ue_E0_OK_distance_sn25,D_ue_E0_OK_distance_sn18
6,D_ue_U1_OK_distance_sn0,D_ue_E1_OK_distance_sn19,D_ue_E1_OK_distance_sn24
7,D_ue_E1_OK_distance_ew1,D_ue_U1_OK_distance_sn23,D_ue_E0_OK_distance_sn25
8,D_ue_U1_OK_distance_ew29,D_ue_E0_OK_distance_sn8,D_ue_E1_OK_distance_sn19
9,D_ue_E0_OK_distance_sn21,D_ue_U1_OK_distance_sn24,D_ue_U1_OK_distance_sn23
10,D_ue_E0_OK_distance_ew10,D_ue_E0_OK_distance_sn24,D_ue_E0_OK_distance_sn8
11,D_ue_U1_OK_distance_sn24,D_ue_E0_OK_distance_ew29,D_ue_E0_OK_distance_sn22
12,D_ue_E1_OK_distance_ew26,D_ue_U1_OK_distance_ew6,D_ue_E0_OK_distance_sn21
13,D_ue_U1_OK_distance_ew19,D_ue_E1_OK_distance_ew25,D_ue_U1_OK_distance_sn24
14,D_ue_E1_OK_distance_ew7,D_ue_E1_OK_distance_sn1,D_ue_E0_OK_distance_sn24
15,D_ue_E1_OK_distance_ew5,D_ue_E1_OK_distance_sn26,D_ue_E0_OK_distance_ew29
16,D_ue_E0_OK_distance_ew5,D_ue_E0_OK_distance_ew15,D_ue_E0_OK_distance_ew6
17,D_ue_E1_OK_distance_ew23,D_ue_E1_OK_distance_sn25,D_ue_U1_OK_distance_ew6
18,D_ue_U1_OK_distance_sn10,D_ue_U1_OK_distance_sn20,D_ue_E1_OK_distance_ew25
19,D_ue_E0_OK_distance_sn9,D_ue_E0_OK_distance_sn17,D_ue_E1_OK_distance_sn1
20,D_ue_E1_OK_distance_ew3,D_ue_E0_OK_distance_sn23,D_ue_E1_OK_distance_sn26
21,D_ue_E1_OK_distance_sn10,,D_ue_E0_OK_distance_ew15
22,D_ue_E0_OK_distance_sn1,,D_ue_E1_OK_distance_sn23
23,D_ue_E1_OK_distance_ew18,,D_ue_E1_OK_distance_sn25
24,D_ue_E0_OK_distance_ew23,,D_ue_E1_OK_distance_sn20
25,D_ue_E1_OK_distance_ew21,,D_ue_U1_OK_distance_sn20
26,D_ue_E1_OK_distance_ew20,,D_ue_E1_OK_distance_ew4
27,D_ue_U1_OK_distance_sn23,,D_ue_E0_OK_distance_sn10
28,D_ue_U1_OK_distance_ew3,,D_ue_E0_OK_distance_sn17
29,D_ue_U1_OK_distance_ew26,,D_ue_E1_OK_distance_sn22
30,D_ue_E0_OK_distance_sn22,,D_ue_E0_OK_distance_sn23
31,D_ue_E0_OK_distance_ew16,,
32,D_ue_E1_OK_distance_ew0,,
33,D_ue_E1_OK_distance_ew13,,
34,D_ue_E1_OK_distance_sn15,,
35,D_ue_E1_OK_distance_sn9,,
36,D_ue_E1_OK_distance_sn20,,
37,D_ue_E1_OK_distance_sn0,,
38,D_ue_E1_OK_distance_ew4,,
39,D_ue_E0_OK_distance_sn18,,
40,D_ue_E1_OK_distance_ew30,,
41,D_ue_E0_OK_distance_ew2,,
42,D_ue_E0_OK_distance_ew27,,
43,D_ue_U1_OK_distance_ew32,,
44,D_ue_E1_OK_distance_ew27,,
45,D_ue_E1_OK_distance_ew2,,
46,D_ue_E0_OK_distance_ew25,,
47,D_ue_U1_OK_distance_ew27,,
48,D_ue_E0_OK_distance_ew24,,
49,D_ue_E0_OK_distance_ew3,,
50,D_ue_U1_OK_distance_ew5,,
51,D_ue_E0_OK_distance_ew0,,
52,D_ue_E1_OK_distance_ew19,,
53,D_ue_U1_OK_distance_ew25,,
54,D_ue_E0_OK_distance_ew6,,
55,D_ue_E1_OK_distance_sn1,,
56,D_ue_U1_OK_distance_ew34,,
57,D_ue_E1_OK_distance_sn23,,
58,D_ue_U1_OK_distance_ew2,,
59,D_ue_E0_OK_distance_sn0,,
60,D_ue_E0_OK_distance_sn10,,
61,D_ue_E0_OK_distance_sn17,,
62,D_ue_U1_OK_distance_sn11,,
63,D_ue_U1_OK_distance_sn19,,
64,D_ue_U1_OK_distance_ew24,,
65,D_ue_E0_OK_distance_ew30,,
66,D_ue_E0_OK_distance_ew19,,
67,D_ue_U1_OK_distance_ew4,,
68,D_ue_E1_OK_distance_sn19,,
69,D_ue_U1_OK_distance_ew6,,
70,D_ue_U1_OK_distance_sn15,,
71,D_ue_U1_OK_distance_sn1,,
72,D_ue_U1_OK_distance_ew33,,
73,D_ue_U1_OK_distance_sn20,,
74,D_ue_E0_OK_distance_ew7,,
75,D_ue_E0_OK_distance_ew22,,
76,D_ue_E1_OK_distance_sn22,,
