id,head_height,mark,classification
3145985,2.1,208,door
3145993,2.1,210,door
3146000,2.1,213,door
3146009,2.1,216,door
3151202,2.1,263,door
3151210,2.1,265,door
3151217,2.1,268,door
3151226,2.1,271,door
3305461,2.075999999999999,411,door
3305467,2.099999999999999,415,door
3305491,2.099999999999999,430,door
3335048,2.1,459,door
3394711,2.1,472,door
3394901,2.1,474,door
3429616,2.1,486,door
3429957,2.1,488,door
3559689,2.1,504,door
3559943,2.1,505,door
3560907,2.1,506,door
3560908,2.1,507,door
3569525,2.1,515,door
3588881,2.1,516,door
3589572,2.1,518,door
3589632,2.1,519,door
3597376,2.1,527,door
