,IBC1020_2,IBC1207_1,IBC1207_3
0,0zk4WfOuPFg8xQ3bt9abzW,1iin7g1k928O2DBRSrKk1K,2_414Bjl90PPXdZA2Pm_Zk
1,2_414Bjl90PPXdZA2Pm_Wa,2_414Bjl90PPXdZA2Pm_Wa,1iin7g1k928O2DBRSrKlKT
2,2_414Bjl90PPXdZA2Pm_WM,1iin7g1k928O2DBRSrKlKT,1iin7g1k928O2DBRSrKlQo
3,1W6Thknzf2qup40FGN1NE6,1iin7g1k928O2DBRSrKk0E,0zk4WfOuPFg8xQ3bt9ab$I
4,2$gFCyRLn3YxmJ7kU3eXtQ,0zk4WfOuPFg8xQ3bt9ab$I,1W6Thknzf2qup40FGN1NEV
5,0zk4WfOuPFg8xQ3bt9abzi,1W6Thknzf2qup40FGN1NEV,1iin7g1k928O2DBRSrKk2H
6,0zk4WfOuPFg8xQ3bt9abwA,1iin7g1k928O2DBRSrKk2H,1iin7g1k928O2DBRSrKl7s
7,2_414Bjl90PPXdZA2Pm_Wx,1iin7g1k928O2DBRSrKlM5,1iin7g1k928O2DBRSrKlO6
8,1W6Thknzf2qup40FGN1NE2,2_414Bjl90PPXdZA2Pm_ZS,1iin7g1k928O2DBRSrKk1K
9,2_414Bjl90PPXdZA2Pm_W$,1iin7g1k928O2DBRSrKk3B,2_414Bjl90PPXdZA2Pm_Wa
10,0zk4WfOuPFg8xQ3bt9abwO,2_414Bjl90PPXdZA2Pm_Wm,1iin7g1k928O2DBRSrKk3B
11,2ex5B8xFnEHumuJWUHWJON,1iin7g1k928O2DBRSrKl7s,0zk4WfOuPFg8xQ3bt9abwO
12,2ex5B8xFnEHumuJWUHWId$,0zk4WfOuPFg8xQ3bt9abwO,3fetmy$FH9ZAKfQ_vq7zg1
13,1W6Thknzf2qup40FGN1NEA,0zk4WfOuPFg8xQ3bt9abzp,1iin7g1k928O2DBRSrKk0E
14,,1W6Thknzf2qup40FGN1NEA,1iin7g1k928O2DBRSrKlM5
15,,3fetmy$FH9ZAKfQ_vq7zg1,2_414Bjl90PPXdZA2Pm_ZS
16,,,0zk4WfOuPFg8xQ3bt9ab_k
17,,,0zk4WfOuPFg8xQ3bt9abzp
18,,,1W6Thknzf2qup40FGN1N30
19,,,2_414Bjl90PPXdZA2Pm_Wm
20,,,1W6Thknzf2qup40FGN1NEA
